"GeneName","module_name","kTotal","kWithin","kOut","kDiff","is.hub","ME","MM"
"NLRP2","grey60",39.7682316264691,23.4787055530715,16.2895260733976,7.18917947967385,TRUE,0.901467013543996,0.811134866480796
"PRSS8","grey60",51.0587602190666,32.0907243090069,18.9680359100597,13.1226883989472,TRUE,0.95023840900016,0.947676580846968
"DAPP1","grey60",44.1563142260516,35.0911148887896,9.06519933726205,26.0259155515275,TRUE,0.962841590128874,0.885864905386681
"GRHL2","grey60",12.919045982924,1.84659897467234,11.0724470082516,-9.22584803357931,FALSE,0.668233074731412,0.74843074006956
"CEACAM6","grey60",47.7745383184427,36.5725667017596,11.2019716166831,25.3705950850765,TRUE,0.970456044196676,0.966139068996643
"TMEM40","grey60",50.5488936053013,38.6226725034725,11.9262211018288,26.6964514016436,TRUE,0.979403936545092,0.690456559779504
"GABRP","grey60",44.3066106989023,34.4369590170499,9.86965168185239,24.5673073351975,TRUE,0.961472644135527,0.794669697906568
"ESRP1","grey60",50.7667360214811,37.3206215069329,13.4461145145482,23.8745069923847,TRUE,0.976805984035932,0.530094229706248
"KRT23","grey60",35.150335951147,23.891787509769,11.258548441378,12.633239068391,TRUE,0.903886215126725,0.603262930286139
"RNF43","grey60",29.5621732091628,14.3526539684122,15.2095192407506,-0.856865272338325,FALSE,0.82910920839806,0.395571517936312
"FZD10","grey60",17.6863140970758,3.29997931316101,14.3863347839148,-11.0863554707537,FALSE,0.742921811295716,0.643160631486636
"IRX4","grey60",47.868537031558,30.1293754759253,17.7391615556327,12.3902139202926,TRUE,0.939138568694035,0.78203092216803
"TFCP2L1","grey60",48.4621799119611,28.91434906501,19.5478308469511,9.36651821805895,TRUE,0.934067469468983,0.581066948378051
"TP53AIP1","grey60",37.1782889610179,7.9392370367435,29.2390519242744,-21.2998148875309,FALSE,0.748292441154126,0.971341162251471
"CTAG2","grey60",21.3328598014655,5.42372249205687,15.9091373094086,-10.4854148173517,FALSE,0.697864745898909,0.779942753837067
"KLK10","grey60",51.6433093491897,41.466350313394,10.1769590357957,31.2893912775982,TRUE,0.991631713467951,0.903914724362617
"KLK8","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
"RAB25","grey60",41.5157278368517,26.6116106841401,14.9041171527116,11.7074935314285,TRUE,0.9193410454528,0.554126438129568
"SPINK5","grey60",44.710352294014,35.4145306647411,9.2958216292729,26.1187090354682,TRUE,0.965188931043536,0.814007635322922
"SAA2","grey60",45.244996003919,29.5126361040681,15.7323598998509,13.7802762042171,TRUE,0.940187445648064,0.928706502281273
"DSC2","grey60",51.1649807071804,39.8228663755413,11.3421143316391,28.4807520439022,TRUE,0.985180687472892,0.999262102472882
"DSG3","grey60",49.9813292640352,39.6898234224148,10.2915058416204,29.3983175807944,TRUE,0.985543219017092,0.805009484187552
"DSC3","grey60",52.1545532104569,36.5092198872564,15.6453333232006,20.8638865640558,TRUE,0.970052566278344,0.68359566960296
"WNT10A","grey60",28.3626725763709,7.37369852594314,20.9889740504278,-13.6152755244846,FALSE,0.744640694506317,0.250980239610269
"FGFBP1","grey60",43.878789056704,21.9271762246951,21.9516128320089,-0.0244366073137954,FALSE,0.892210570619881,0.742325386785575
"TMPRSS4","grey60",49.3097400781765,30.8865625211075,18.423177557069,12.4633849640386,TRUE,0.946185204228555,0.342196998748835
"MMP7","grey60",47.3593792938345,32.3255845793859,15.0337947144486,17.2917898649372,TRUE,0.952335654181079,0.940938356401297
"GPR87","grey60",39.9209723776317,21.3886177976133,18.5323545800185,2.85626321759479,TRUE,0.885494442559616,0.286971074333034
"RHCG","grey60",46.3627271127143,32.860303348826,13.5024237638883,19.3578795849377,TRUE,0.953175989510831,0.965112994310549
"CBLC","grey60",38.7783391659692,14.2239369432324,24.5544022227368,-10.3304652795044,FALSE,0.825134461274736,0.928337869455124
"S100A7","grey60",42.964558075865,30.8673944686188,12.0971636072463,18.7702308613725,TRUE,0.945563237040515,0.672780012589281
"LCN2","grey60",46.359281888924,36.3583439589364,10.0009379299876,26.3574060289488,TRUE,0.970041902644263,0.947293089708693
"WNT7A","grey60",47.8727140577081,37.5386204719021,10.334093585806,27.2045268860961,TRUE,0.974608287050539,0.932848739601839
"AZGP1","grey60",29.4536993831484,2.67935169766048,26.7743476854879,-24.0949959878275,FALSE,0.59591164120416,0.0735596906296658
"SPRR2D","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
"S100A9","grey60",50.7463198094164,41.0675205471009,9.67879926231549,31.3887212847855,TRUE,0.991022717728586,0.776400439177309
"KLK5","grey60",51.4177360003178,39.0091494034995,12.4085865968182,26.6005628066813,TRUE,0.982160075303764,0.649520542534553
"KLK6","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
"KLK11","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
"EVPL","grey60",41.9533391858039,30.6880250269992,11.2653141588047,19.4227108681944,TRUE,0.94312881759524,0.794640797895854
"KLK7","grey60",51.9334937035409,41.4082182614532,10.5252754420877,30.8829428193655,TRUE,0.991898614622875,0.97945616613976
"SPRR1B","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
"CRCT1","grey60",53.6630414536505,42.9706864001543,10.6923550534962,32.2783313466581,TRUE,0.998183304615108,0.807610781897044
